Class,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134
1,0.673210125,0.481789457,0.32025603,0.338046055,0.454748619,0.4412282,0.823357936,0.742135373,0.273888984,-1.178659124,0.95305717,0.110073055,0.715194584,0.674633327,0.757890644,0.579990394,0.345162065,0.258346743,0.164415411,0.64118808,0.711200176,0.171240376,-0.043899857,0.041171935,0.642299056,0.877125323,0.887402026,0.862360798,0.522073632,0.87360996,0.664670913,0.407071352,0.554372758,0.715194584,0.787777886,0.994142176,0.959273727,0.950734515,0.959384824,0.917200465,0.973505747,0.929386485,0.971370944,0.875016105,0.745081826,0.829050744,0.99805382,0.821934734,0.76216025,0.771411063,0.791350459,0.834237891,0.981180077,0.872458405,0.841971691,0.78361666,0.820176438,0.82861331,0.533322794,0.619097658,0.950947952,0.970633987,0.820511532,0.64830409,0.636918474,0.624821257,0.528755122,0.569316379,0.865342395,0.699247941,0.455984802,0.401848208,0.444032567,0.583240953,0.763227553,0.996276979,0.969236141,0.721598993,0.542987142,0.429842584,0.465422634,0.600626823,0.718040988,0.802721507,0.287247365,0.661282018,0.721746266,0.535432012,0.501684525,0.780101297,0.967812939,0.69100015,0.707366973,0.597068818,0.68388414,0.798451901,0.927963283,0.871500742,0.710497104,0.932668063,0.850408562,0.821582584,0.84970549,0.846893199,0.845417567,0.699539362,0.709501776,0.440516599,0.489617068,0.817665128,0.921418901,0.467937037,0.474967764,0.662688163,0.658469727,0.678155762,0.75971219,0.990320021,0.404224948,0.36295209,0.463999432,0.76927626,0.844080909,0.746353809,0.73862001,0.954463316,0.890960031,0.895941238,0.995944602,0.348414686,0.193035629,0.634565257
1,0.566469975,0.463015529,0.460906311,0.806114985,0.814818724,0.848299345,0.973505747,0.921558874,0.346585267,0.994538457,0.920012755,0.589568607,0.866053996,0.694326433,0.756467442,0.474673447,0.826915941,0.711903249,0.389895972,0.689404924,0.650438893,0.380030514,0.54867995,0.707684813,0.782913587,0.687998779,0.832831746,0.917289268,0.854626998,0.991726166,0.886690425,0.937925697,0.982586222,0.906615253,0.827627542,0.707684813,0.598005479,0.555084359,0.981333358,0.768852134,0.856803183,0.84043636,0.707366973,0.823357936,0.95305717,0.882749905,0.914442864,0.789241241,0.67253118,0.898076041,0.913731263,0.923528119,0.976961641,0.746353809,0.759313846,0.566469975,0.715194584,0.771664425,0.987026166,0.970659343,0.823691802,0.817364148,0.992718974,0.785725878,0.999459966,0.865342395,0.667517317,0.816953527,0.987507731,0.574804081,0.910169738,0.935480354,0.994538457,0.808927276,0.893806435,0.811036494,0.594934015,0.538005935,0.587106404,0.938292645,0.515042905,0.452469439,0.893806435,0.918000869,0.921418901,0.81806722,0.967101338,0.838301557,0.887402026,0.932232889,0.946464909,0.991023094,0.601520842,0.971337059,0.636918474,0.782913587,0.765718255,0.799084259,0.816953527,0.896811358,0.695981357,0.916577667,0.965009406,0.708387886,0.854626998,0.940401863,0.64118808,0.979070859,0.845487054,0.80470884,0.59308397,0.94717651,0.57714399,0.955715722,0.951651025,0.386380609,0.861657725,0.843377836,0.612012439,0.131681765,0.067637675,0.729426604,0.689576948,0.772367498,0.561445701,0.959273727,0.698544869,0.923528119,0.938637298,0.91159646,0.725964702,0.853923926
1,0.934367692,0.982586222,0.935480354,0.688865347,0.744370225,0.523479777,0.909466666,0.864630794,0.743658624,0.667609672,0.948599712,0.952354098,0.638341676,0.727291801,0.823691802,0.963543333,0.887671413,0.903842084,0.675343471,0.687442145,0.922825046,0.905951302,0.623398055,0.744244591,0.845487054,0.802721507,0.629643748,0.60560803,0.767445989,0.49254458,0.796317098,0.684595741,0.959985328,0.864470016,0.962197115,0.980477004,0.821934734,0.905951302,0.608551569,0.9400605,0.844705966,0.760737048,0.962120131,0.735831013,0.807702714,0.80752113,0.860361188,0.940401863,0.84043636,0.903139012,0.570585645,0.722310594,0.946464909,0.982586222,0.884859123,0.666805716,0.912982029,0.740729228,0.863207592,0.924934264,0.756196827,0.592087611,0.905951302,0.768852134,0.811739566,0.998756893,0.731561407,0.962900188,0.62472224,0.631225666,0.650735928,0.626244459,0.939348899,0.763583452,0.699247941,0.913731263,0.784219881,0.882420819,0.769555207,0.881709218,0.775882861,0.751978391,0.71946419,0.694326433,0.882420819,0.621263252,0.647220565,0.980621757,0.860361188,0.887671413,0.699539362,0.859548507,0.922121973,0.908763593,0.66971889,0.684595741,0.979070859,0.700250963,0.665500454,0.939348899,0.801298305,0.842674763,0.794865823,0.924405278,0.745081826,0.667609672,0.860361188,0.545833546,0.534025867,0.973505747,0.848975572,0.925116879,0.936183427,0.781507442,0.383588519,0.507309106,0.938995717,0.886265268,0.308158813,0.740026155,0.681037736,0.393411336,0.43411219,0.864470016,0.959384824,0.456687875,0.767141457,0.716617786,0.863766943,0.626128385,0.760737048,0.974852423
1,0.546545147,0.840565545,0.896652839,0.711903249,0.800490404,0.848975572,0.923693677,0.950947952,0.467557437,0.917289268,0.796975041,0.926340409,0.85251778,0.834743552,0.942195303,0.720340121,0.965009406,0.98275656,0.977775353,0.931964991,0.853923926,0.993835384,0.979198555,0.902435939,0.706655372,0.848975572,0.82620434,0.708387886,0.91159646,0.737254215,0.953580919,0.811739566,0.448954076,0.869612001,0.742947023,0.934777281,0.901732866,0.871500742,0.972040132,0.992718974,0.769987861,0.701674165,0.97414935,0.739389018,0.917903538,0.660578945,0.920135672,0.450479013,0.545978102,0.4791862,0.57714399,0.903057248,0.935079293,0.992007373,0.96852454,0.91871247,0.772367498,0.915866066,0.781373477,0.723855484,0.396926699,0.76216025,0.873170006,0.521370559,0.665382514,0.799163502,0.94717651,0.533736329,0.617691513,0.652142073,0.987026166,0.97564055,0.876422251,0.803302694,0.993132312,0.576432389,0.72526163,0.477780054,0.995944602,0.434823791,0.87079767,0.577855591,0.896811358,0.905192051,0.444786205,0.869391524,0.645111347,0.673937326,0.907357448,0.939348899,0.699539362,0.701357159,0.873170006,0.681749337,0.581131735,0.785643083,0.90448045,0.601338424,0.694558155,0.775882861,0.940401863,0.71471554,0.337334454,0.632456039,0.31255798,0.96360326,0.901634046,0.217785486,0.511527542,0.699247941,0.877439612,0.829316383,0.876422251,0.619128449,0.699247941,0.891671632,0.919309683,0.9291527,0.782085078,0.870323602,0.73369621,0.993430575,0.988210803,0.856033144,0.509541896,0.633862184,0.777289006,0.887402026,0.927251682,0.84755237,0.832128673,0.969947742
1,0.56291197,0.785022805,0.885267223,0.955166388,0.794182295,0.779950275,0.858845434,0.700654087,0.679561907,0.987026166,0.734401574,0.775179788,0.819799931,0.57714399,0.678902933,0.946464909,0.818376729,0.745650737,0.61417615,0.439111058,0.91159646,0.793470694,0.688865347,0.80485631,0.884859123,0.977775353,0.56291197,0.645111347,0.855330071,0.576432389,0.814551857,0.98275656,0.921418901,0.977664713,0.938292645,0.977664713,0.931521288,0.950734515,0.909461657,0.81908833,0.415909661,0.95024488,0.963543333,0.859649587,0.986314565,0.948838734,0.962831732,0.730886211,0.780661876,0.984891363,0.681037736,0.88313242,0.931964991,0.965009406,0.836347109,0.916577667,0.889077559,0.910884859,0.950947952,0.977775353,0.986101585,0.692217215,0.981180077,0.93294449,0.888113627,0.979198555,0.917289268,0.98469544,0.974928949,0.821934734,0.739389018,0.955715722,0.774476716,0.848299345,0.882046832,0.888113627,0.672498524,0.913019662,0.947888111,0.745650737,0.881343759,0.761821408,0.965009406,0.972794146,0.948599712,0.988210803,0.974217348,0.983289295,0.981883149,0.998756893,0.880997617,0.906654375,0.842674763,0.694326433,0.938637298,0.922982076,0.7265802,0.616282045,0.879234541,0.972040132,0.913685102,0.955869461,0.955166388,0.762871851,0.797028699,0.964966535,0.830019455,0.917289268,0.976352151,0.987507731,0.997350748,0.790647387,0.869612001,0.87360996,0.89024843,0.801298305,0.731589284,0.329506843,0.973505747,-0.430589818,0.629643748,-0.07112452,0.696692958,0.34700854,0.80752113,0.856033144,0.914442864,0.597068818,0.722310594,0.681037736,0.538717536,-0.530426135
1,0.962900188,0.959384824,0.602223915,0.986101585,0.450479013,0.999459966,0.736542614,0.98469544,0.561445701,0.745081826,0.760415262,0.6591728,0.938637298,0.530178324,0.748463027,0.843994365,0.661282018,0.900922445,0.68307727,0.618416848,0.914388174,0.868188799,0.746353809,0.877828396,0.933371136,0.771411063,0.913731263,0.794865823,0.781373477,0.886265268,0.905951302,0.940401863,0.836166754,0.779238674,0.802721507,0.973446277,0.725156998,0.858845434,0.946026444,0.821582584,0.87360996,0.767445989,0.757890644,0.892383233,0.999459966,0.776585934,0.921558874,0.805567911,0.959384824,0.876422251,0.759009117,0.757179043,0.917200465,0.864470016,0.644746085,0.97564055,0.597068818,0.695029505,0.898920576,0.652845146,0.681037736,0.594490115,0.816241926,0.796271968,0.497444679,0.723152412,0.71946419,0.851110375,0.863919193,0.931261918,0.753384536,0.899499243,0.946026444,0.933371136,0.9400605,0.836347109,0.817665128,0.820879511,0.681037736,0.830019455,0.981180077,0.825097947,0.873881607,0.90448045,0.792756605,0.673921726,0.747759955,0.851110375,0.749869173,0.592799212,0.780804369,0.940401863,0.689404924,0.757179043,0.848263971,0.970633987,0.893999067,0.720175791,0.910169738,0.46864011,0.95429252,0.67676813,0.934074209,0.799163502,0.997700181,0.657063582,0.545121945,0.784319733,0.843282764,0.87360996,0.924405278,0.604896429,0.889077559,0.932232889,0.903057248,0.969930914,0.462312456,0.446209407,0.964306333,0.984179762,0.645111347,0.999459966,0.644034484,0.913019662,0.90806052,0.958681752,0.673210125,0.54527503,0.828339143,0.875304809,0.788538169,0.964966535
1,-0.047641687,0.903768849,0.98469544,0.953760243,0.740026155,-0.009449297,0.350523904,0.999834984,0.908763593,0.910884859,0.604184828,0.908038455,0.991295772,0.205688269,0.568604778,0.572694863,0.553711901,0.554414974,0.741432301,0.988210803,0.99805382,0.937925697,0.810549118,0.531916649,0.775680669,0.866579234,0.58253788,0.722449339,0.756899899,0.919424071,0.708078574,0.671786923,0.659689706,0.878151213,0.969947742,0.899499243,0.856736216,0.741523821,0.96140853,0.613473077,0.838301557,0.980621757,0.767141457,0.959384824,0.61272404,0.735831013,0.506606033,0.936502495,0.966389737,0.851111635,0.946464909,0.315274823,0.628940676,0.510121397,0.884859123,0.816661075,0.719637048,0.767141457,0.798381186,0.754087609,0.646880888,0.818376729,0.686730544,0.735831013,0.98469544,0.703466377,0.920012755,0.959384824,0.877125323,0.878862814,0.721043194,0.940772101,0.974217348,0.696435651,0.989616948,0.661112908,0.70523217,0.898076041,0.666805716,0.914388174,0.947432589,0.908038455,0.777992079,0.881343759,0.82861331,0.736510792,0.915866066,0.772834265,0.98987257,0.896811358,0.967101338,0.816241926,0.983289295,0.898076041,0.964966535,0.766039844,0.853220853,0.769555207,0.980621757,0.964254934,0.955869461,0.956427323,0.721043194,0.649015691,0.607031232,0.358682484,0.832608749,0.699951014,0.612066932,0.715418612,0.8689004,0.794182295,0.922270475,0.62472224,0.886968341,0.502425886,0.963543333,0.907326854,0.837050182,0.683780343,0.763930626,0.914388174,0.903057248,0.407782953,0.725868599,0.529104358,0.315370271,0.902435939,0.728003402,0.99698858,0.901732866,0.636918474
1,0.436246993,0.839862473,0.834940964,0.90806052,0.962120131,0.61272404,0.60363006,0.799163502,0.97414935,0.740729228,0.817665128,0.784219881,0.599915222,0.744244591,0.950947952,0.997350748,0.754790681,0.824394874,0.545121945,0.932668063,0.735831013,0.95305717,0.993132312,0.943917226,0.813145712,0.884859123,0.989160969,0.84755237,0.422940387,0.761821408,0.274713566,0.851110375,-0.108582541,0.337334454,-0.399172581,0.06648255,0.033480827,0.913731263,0.646517492,0.63526833,0.612012439,0.904545157,0.742947023,0.550196538,0.974852423,0.384974464,0.59137601,0.928449627,0.459500165,0.663391236,0.929855773,0.930809687,0.898920576,0.619128449,0.376537592,0.325948838,0.834940964,0.907326854,0.575507154,0.198572259,0.797678113,0.710213377,0.972040132,0.333064848,0.792759093,0.692920287,-0.046712147,0.414898963,0.824781138,0.908763593,0.80470884,0.332353247,0.777992079,0.81908833,0.630346821,0.874593208,0.749869173,0.759009117,0.739389018,0.489617068,0.810549118,0.461609383,0.913019662,0.865342395,0.869391524,0.822285656,0.913019662,0.860954652,0.999459966,0.805567911,0.917903538,0.827207165,0.687442145,0.576210226,0.681671125,0.323102434,0.753621038,0.370209938,0.984179762,0.691711751,0.710497104,0.887671413,0.962831732,0.61417615,0.597780419,0.924405278,0.757890644,0.742135373,0.735104647,0.856803183,0.89470214,0.665382514,0.863766943,0.7491661,0.499575307,0.435535392,0.404224948,0.316776416,0.936183427,0.809125916,0.978486954,0.941808008,0.794893896,0.696692958,0.917289268,0.788489487,0.352633122,0.881709218,0.905903652,0.910173258,0.834031951,0.903842084
1,0.877125323,0.875719178,0.952354098,0.990320021,0.98275656,0.88415605,0.866579234,0.948599712,0.905192051,0.866765597,0.910884859,0.912278956,0.954463316,0.990320021,0.969236141,0.986101585,0.991295772,0.76927626,0.929386485,0.96079097,0.879234541,0.826504092,0.744244591,0.757602972,0.955715722,0.666094115,0.728715003,0.900210844,0.930098086,0.993835384,0.885562195,0.747056882,0.829316383,0.934367692,0.96852454,0.93294449,0.979070859,0.964966535,0.964966535,0.857514784,0.765718255,0.883844021,0.87601641,0.878531469,0.755493754,0.801896549,0.881343759,0.946729516,0.986314565,0.940401863,0.94251108,0.986101585,0.861072789,0.721598993,0.635495272,0.959273727,0.870094597,0.842674763,0.932668063,0.934074209,0.994142176,0.971337059,0.838456327,0.979910156,0.908038455,0.935790894,0.953580919,0.963543333,0.963543333,0.930809687,0.934074209,0.893295995,0.887671413,0.926340409,0.995565378,0.814818724,0.995565378,0.938637298,0.950734515,0.942195303,0.971370944,0.789944314,0.735807719,0.882749905,0.914442864,0.797028699,0.735119412,0.755755841,0.969236141,0.811036494,0.721746266,0.759009117,0.962120131,0.940772101,0.885978824,0.92582848,0.913019662,0.964966535,0.986101585,0.822285656,0.763227553,0.929386485,0.851821976,0.779238674,0.806279512,0.916577667,0.959384824,0.861657725,0.735104647,0.932668063,0.96079097,0.985398513,0.983468161,0.951446116,0.926540081,0.888113627,0.868188799,0.959273727,0.983992367,0.875719178,0.834237891,0.898217503,0.987737767,0.997700181,0.921418901,0.962120131,0.934367692,0.870323602,0.898787642,0.972743205,0.994142176,0.89024843
1,0.96079097,0.846129168,0.903057248,0.544410344,0.973446277,0.794865823,0.927043482,0.454748619,0.788538169,0.924934264,0.856033144,0.785643083,0.578319444,0.838301557,0.713771382,0.789241241,0.830019455,0.862495991,0.708387886,0.478943053,0.518558269,0.986804658,0.934367692,0.974217348,0.742838446,0.941808008,0.575720788,0.820511532,0.733698501,0.939348899,0.709794031,0.198572259,0.993430575,0.841147961,0.368803793,0.774257467,0.721043194,0.58426,0.975555495,0.697841796,0.732292356,0.298908,0.851111635,0.824394874,0.69811616,0.886968341,0.991726166,0.89024843,0.707684813,0.910173258,0.880997617,0.664094308,0.470749328,0.805567911,0.424861377,0.988210803,0.698544869,0.785022805,0.653285297,0.898920576,0.958562126,0.471115442,0.914388174,0.852533577,0.602223915,0.908763593,0.560777167,0.62472224,0.882749905,0.944330106,0.892383233,0.902435939,0.80470884,0.999834984,0.781507442,0.895229637,0.75504424,0.545121945,0.54527503,0.806114985,0.493886674,0.769987861,0.91159646,0.820176438,0.414503515,0.955166388,0.901634046,0.735831013,0.910872811,0.961494042,0.896652839,0.931521288,0.808927276,0.673234253,0.899623648,0.585683202,0.779238674,0.843377836,0.987026166,0.597068818,0.560742628,0.51363676,0.809125916,0.58426,0.964306333,0.820176438,0.815958002,0.773545866,0.922825046,0.691711751,0.790647387,0.710497104,0.616993646,0.787835096,0.942906904,0.861072789,0.538717536,0.874313033,0.958562126,0.624019167,0.777289006,0.951446116,0.974928949,0.974217348,0.927746555,0.674633327,0.804144709,0.858226385,0.804005767,0.91579432,0.971370944,0.875719178
