Class,Class.1,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,X,X.1,X.2,X.3
1,-1.866158127,0.440328537,0.8361266,-0.573997614,-1.025368012,-0.331214893,-0.347588929,-0.859712246,0.383279244,0.780957202,-1.138350488,-0.851264078,0.902395257,-1.071121212,-1.202824477,0.973735091,-1.80437852,-1.598671333,-1.312222882,0.117065419,0.80704811,0.24617762,0.799265854,-0.596782948,-0.780489493,0.959114989,0.842318721,0.872777657,0.018634713,-0.186227546,-0.418838993,-0.13173546,0.8538651,0.875945845,0.785116928,-1.352925155,0.498564464,0.979985046,0.079613038,0.380826471,0.746282944,0.185167072,0.934306842,-1.340047972,0.666897462,0.185429037,0.144753189,0.966969576,-0.782732874,-0.509974902,0.218655126,0.306219342,0.999254311,-0.219749494,0.388985279,0.499518975,0.481521565,0.259399669,-0.594101334,0.643781174,0.038226246,-0.226161127,0.299184478,0.121047284,0.555629174,-0.22186323,-0.526966853,0.55633298,0.930805973,-1.090691428,0.737098567,0.208882407,-2.09649371,-0.354962706,-0.837607179,0.157126752,0.538063999,-0.636742353,-0.286140973,0.368012099,0.754939581,-1.588422525,0.614114081,0.959287378,0.96775041,-0.883113783,-0.126789591,0.442467331,0.96741161,-1.278228366,0.847076721,0.821850308,-1.449757349,0.878301286,0.343598403,0.381086936,0.404823049,0.948038852,-1.623786383,-1.15385216,-0.86624696,0.43885272,0.19718172,0.488277939,0.827244355,0.508778055,-0.123472263,-0.335840711,-0.26443252,-1.579120879,0.343421754,0.941116244,-0.376091896,-1.050635272,-0.543605295,0.615240172,-0.066580487,0.301582234,-0.725929663,-0.941338324,0.886311354,-0.06740443,0.069967491,-1.914238039,0.170146926,0.808136212,-0.34166593,-1.032832878,0.673472608,-1.841445001,-0.083092533,-0.357103672,-0.955572592,0.955179131,-0.336292404,0.384260919,0.889398051,0.867642567,0.437885051,-0.704881036,0.481919425,-1.330185658,0.531400556,0.906533092,0.148841173,0.41289025,0.662053949,0.446717812,0.833601442,-0.054311514,-0.861056661
1,-1.404200528,0.123300146,0.027889541,-1.2696908,0.038023848,0.989831469,0.780905779,0.189069567,0.086109442,-0.314328472,-0.617350104,-1.364781629,-0.360671623,-0.207592684,-1.477466452,-1.884599658,0.260881247,0.257235879,0.863542495,-0.578254049,-0.252884781,0.830636446,-0.022850016,0.323112214,0.359368854,-1.355039482,0.993207088,0.794684066,0.462940815,-0.505661847,-0.681983742,-0.247901628,-0.95848677,-0.195947832,-0.820008134,0.178329383,-0.43678488,0.2347959,-0.572710273,-1.268762871,-1.225619319,-0.336475193,0.739850241,0.405326694,-0.872224483,0.75313167,-0.780316625,0.165859935,0.791208355,0.614551058,-0.868288542,0.871830902,-1.338225669,0.063474446,0.300754066,-1.265589063,0.952234677,-2.27533873,-1.407146659,0.6714577,0.634163322,-0.905403413,0.855059264,-0.272532427,-1.837557959,0.266039788,-0.515232283,0.815152581,-1.406126554,-1.144583211,0.203792676,-0.478023252,0.201091005,0.7813959,-0.699142751,-0.11498371,0.514217881,-1.982384017,0.799564804,-0.233461422,-0.70335676,0.740727905,-1.436817496,0.912565596,0.698473143,-1.041652783,0.18373315,0.592056458,-0.4788439,0.248073259,0.413570094,-0.070627218,-0.160246909,0.446475962,0.224999495,0.431449004,0.546408037,-0.67790668,-0.096101448,-0.420305663,0.983380307,-0.855110527,-0.282428557,-0.784113002,-1.808719047,-1.115073816,-0.158483479,-0.122428183,-2.662771593,0.495852797,-0.24160647,-0.194878894,-1.211130577,-0.851130563,-0.373878399,-0.186937748,-1.560573685,-1.157549538,-0.746002078,0.390044272,0.18417236,0.35125648,-1.210707192,-1.377643289,0.080372185,0.740967565,0.859626472,-0.013435591,-0.876746449,-0.898220278,0.935547659,-0.404134612,-0.563881429,-2.260367315,-1.976325776,-1.847245645,-0.087707877,0.712767067,0.748094827,0.114759106,-0.206226144,-1.878722708,-1.168183605,-0.271558961,0.780756204,0.767272148,-0.07574847,-0.518772258,0.776516264,-0.334668667,-1.779395728
1,-1.364659303,-0.645737808,-0.615284147,-0.675135054,-0.445762814,0.493307712,-0.014526657,0.457001142,-1.837829073,-1.762080695,-1.629560726,-1.014968764,0.99258937,-1.206866532,-1.005302731,-0.854885907,0.93912869,-0.527864202,0.907527958,0.084013916,0.203549695,-1.267683519,-1.863035988,0.866781625,0.586252862,0.576000876,0.243946359,0.753371393,0.149530409,0.163700398,-2.307817516,0.727702688,-0.827270127,-1.498312198,-1.984267801,-0.182891417,0.427281066,0.076039671,0.947847433,0.397803995,-0.539303838,-0.950254009,0.410462941,-1.395093677,-1.249669457,-0.015621455,0.351597632,0.634291566,-0.331890739,-1.683618158,-2.096513395,-1.111163305,0.740672211,0.786163683,0.737325292,0.912252743,-0.591939039,0.018345193,0.980735099,0.942494546,0.675546691,-0.354318439,0.402526142,0.788743085,-0.906255813,-0.898308241,0.133736881,-0.935566907,-1.41850304,0.212041873,0.739945095,-0.812006833,-1.061558963,0.495855005,0.094942324,0.043037783,-1.491230261,-1.917343921,0.587876277,0.194893976,-2.511589438,-0.31510235,-0.040869681,0.686787983,0.236616071,0.335209136,0.837828379,0.129347511,-0.077096123,-1.142129868,-1.018670161,-1.750608241,-1.98061625,0.904879359,0.824785018,0.536318914,-0.52696017,-1.735168752,-0.397480722,-0.04944468,-0.05029229,-0.403917543,0.146089142,0.667570809,-0.183277122,-0.243618623,0.900929543,-1.110949742,-1.313293224,0.782985307,-1.208380972,0.362580298,-0.147699387,0.244299067,0.24317712,0.706830797,-0.086782144,-0.031037624,-0.239685341,-0.906024344,-0.064097367,0.609042591,0.772873063,-0.638323018,-1.147858435,-0.045622925,-0.157886901,0.972504123,-0.805200179,0.422019331,0.897583896,-0.149065765,-1.300436638,-0.406120028,0.529809605,-0.107563147,-1.071327394,0.808356408,-0.327838406,0.752399018,0.413729643,0.52869842,-0.217929794,0.480252743,0.045435331,0.087542352,0.924763456,0.792666488,0.540617307,0.370944848,-1.043663247
1,-1.657575434,0.828973703,-1.901825419,-1.43241694,0.300722192,0.425712601,0.600585754,0.743475088,0.511053284,-0.916452152,-2.260525392,0.246522342,-1.079964675,-2.096146978,0.56429278,-1.703117651,0.108977397,-1.548741432,-1.657511796,-0.84642109,0.688326097,-0.514681027,-0.888891563,-1.024997031,-0.05065493,0.410491735,0.795187701,-1.628683358,-2.176599984,-1.544428594,0.339415581,-0.242050146,-1.424103967,0.266956887,0.541687786,0.126702848,0.730708359,-0.948734549,-1.827133123,-0.602108973,-0.34932742,-1.786892163,-2.088063941,-1.80513197,-0.654448498,0.633030318,-0.911031982,0.86941537,0.714076979,-1.021565582,0.584791223,-1.598212457,-1.276907101,-0.706882089,0.077613357,0.88386029,0.247677761,0.022244337,0.888341684,0.821513545,-1.108086235,0.000534058,-0.78160214,-1.170653205,-0.270837513,0.984844351,-1.286384881,0.587517512,-0.683221489,0.802510155,0.669933634,0.958187986,0.529479014,0.766233502,0.502828404,0.827382567,0.412593581,-1.226246763,-1.249764227,-1.437478626,-0.391518898,-0.350155921,-1.161602696,0.786045721,-0.134196695,0.181363257,-1.396679063,0.358530018,-1.254618111,0.653034693,-0.542269149,0.100742338,-0.942655255,-1.107658362,-1.362967427,-1.299447524,0.769673859,-0.237847624,0.028521771,-0.60888089,0.548974576,0.542166337,-0.626971409,0.53192107,0.543428583,0.508687171,-0.290736179,0.234703097,0.590482087,-0.068293423,-0.755170128,0.164563928,-0.128517278,-0.790314745,0.675016632,0.702237019,0.580508528,-1.288725601,-0.500414765,-0.152378608,0.53499426,-0.881620312,0.863947092,0.31803676,-2.157321448,-0.441598624,0.573515508,-0.866578412,-0.466124785,-0.079126465,-0.905388268,0.854698371,-0.057971661,-0.065919014,-1.541776871,0.088939893,-2.260476265,0.358283408,0.248288434,-0.931115224,0.2077375,-0.049740914,-0.092298623,-0.351519314,0.483869032,0.966369872,0.473706595,-0.864399441,0.990539637,0.800539196,0.246884756
1,-1.018298819,0.69453533,0.495939018,-1.829699598,0.769549781,0.88414371,-2.463404021,0.446721482,0.564246033,0.992612334,0.431702366,-0.838213759,0.09742112,0.124100083,-1.62917711,-1.152115199,0.4104139,0.609884441,-1.134852596,0.814907626,0.65580681,0.764717968,0.037540057,0.809726923,0.398392893,0.329680173,0.860454852,0.533276161,-1.155040221,-0.240690217,-0.435815866,-0.176795668,-0.931030501,-0.152464805,-0.004735222,0.542880925,0.663226774,0.713521492,-0.348234173,0.347275903,0.333254112,-1.139755303,0.76756737,-1.567997228,-0.663684034,-0.346053818,-0.606656691,0.598127584,0.8957443,0.5199345,-1.040809547,-1.931026342,-0.752907121,0.33400179,0.548522094,-0.370737176,0.812126284,-0.58230604,0.440175945,0.804247165,-0.921452189,-1.841590098,0.914004393,0.088006576,0.558225654,0.742027918,0.82385243,0.228020386,-0.001757803,-0.02786449,-1.600833846,-1.865248926,0.457269424,0.380254105,0.02854997,0.27132572,-1.253775642,0.102466555,-0.221344979,-0.961495507,-0.645141794,0.015989259,0.853047113,0.551225266,-0.795584321,0.71004935,-1.446931924,0.679693561,0.711124264,-0.449406358,0.35428808,0.903627245,0.620940102,0.895582648,0.030016839,-0.747458611,-1.410067793,-0.134092042,-0.956012717,-0.406252555,0.088039709,-0.07863426,-0.021357665,0.000522084,-0.551456191,-0.189110379,-2.164132956,0.010822321,0.064239616,0.230193212,-0.514800791,-0.007363478,-0.524805902,-1.686337651,0.939047413,-1.179640855,0.76285357,0.502866984,-1.708998455,0.828671475,-1.706832668,-1.854047421,-1.324715539,0.82936572,0.393446515,-0.576440303,0.551472554,-1.834651333,0.220276513,0.089605047,-1.130556096,-0.094062163,-0.955563894,-1.466400221,0.589728234,0.303937884,0.588773499,0.045001611,0.068802497,-0.267686873,0.392950704,-0.098118541,0.205790942,-0.930494414,-2.181927156,0.864298295,-1.065127043,0.554456627,-0.23965923,0.5469709,0.289188366
1,-2.105364529,0.670228262,-0.031559526,-2.088514564,-1.829786083,-1.585122756,-0.162097224,0.873024142,-0.636847173,0.720590131,0.541019415,0.657781004,0.334662936,-0.109751512,-1.476670051,-1.279216111,-1.633341344,0.299536925,0.34346873,0.056416863,-1.198145143,-0.613897384,0.613713718,0.410236105,-1.217246143,0.969309688,0.380405762,0.901979121,0.796654131,0.680455586,0.781563054,0.772598283,-0.411921043,-0.7862835,-1.172693366,-1.375930381,-1.24619065,0.20621422,-0.144988906,-0.147927122,0.870796836,0.032066244,-0.05301041,-0.881123205,0.878929734,0.530814417,0.578157484,-1.549879676,0.836889944,-0.076229629,-0.875311995,0.361205165,0.271239711,0.31132468,0.013415711,-0.235917931,0.324545825,-1.979866404,-1.104224871,-0.528066722,-0.708712995,0.89283308,-0.299601928,0.961623308,-1.583859791,-1.283182893,0.779011012,-1.803009761,0.198967581,0.946272786,0.737404594,-1.599954052,-1.649014749,-0.750422141,-0.772696812,-1.002547397,0.697096727,-1.061572153,0.403652332,-0.98953026,0.595049429,0.065929961,-0.51695771,-1.828129485,-1.190160653,0.650151602,0.90598214,-1.013473066,-0.038599297,0.098110378,-1.061535239,-0.30870887,0.798659817,0.894219263,0.677817052,0.103776252,-2.230093523,-1.000389375,-0.398754746,-1.514872659,-0.404865519,0.098913142,0.124868023,0.025887036,-0.082368432,-0.106353022,0.401880721,-1.030481716,-0.603295054,-0.130381865,-0.256017359,0.657606631,0.195075095,0.555167502,0.550159043,-0.209216087,-1.789726148,-0.134642241,0.919900056,0.829428439,-0.147663609,0.363718002,0.976571356,-0.104175808,-2.131352786,-0.126658483,0.852704923,0.504134885,-0.201758117,0.199582458,0.631470165,-0.448789895,0.451687951,0.577777377,-1.019210453,0.750474622,-1.551605422,-0.354168004,0.765751192,0.162934636,-1.221738542,-1.83621032,-1.277909277,-1.179682176,-0.941590904,-2.303393948,-1.691505164,0.377081712,-1.077812604,0.954399876,-0.206625236
1,-1.352302259,-0.337808309,0.437899495,0.733884187,0.930312935,-0.898955412,-0.063334434,-0.63664895,-0.565673731,-0.650296387,-0.271108271,-0.248754942,0.832233703,0.915435968,-0.177116981,-1.046743491,0.304194541,-0.577294333,0.894461164,-0.951137741,0.582922533,-0.228151153,0.819355595,0.367629609,0.342822193,0.664688361,-0.269407505,-1.900428121,0.186783102,-0.954588297,-0.530908312,0.463479205,-0.486296029,0.479016709,-0.767762103,0.545944733,0.511553858,0.194374063,-0.975752083,-1.159926696,0.78794345,0.111620976,-0.245720846,-0.25904809,0.817494744,-2.034119146,-0.468758826,-0.153399954,-1.371561192,-0.544897879,-0.532763856,0.506155126,0.430317093,0.817238412,0.192693785,-0.029137388,-0.36190496,0.854104148,0.24633735,-0.778078091,-0.59457104,-1.421867617,0.684929653,0.225200955,0.792112439,0.862202827,-0.57685641,0.764772433,-0.020329255,0.215296247,-0.878063648,0.976233977,-1.2797424,0.913619485,-1.211295541,-0.07437938,0.995612651,-0.052632504,0.884403745,0.663366284,-0.263299322,-0.192116731,-0.263502287,0.627270013,0.070320941,0.998730966,0.260865653,0.126041478,0.086326504,-1.727150135,-1.847126327,-1.118272769,0.313330531,0.909426922,0.199705432,0.8449159,0.782927398,-0.251043799,0.064937671,-0.64992417,-1.800454496,0.894548869,-0.763293893,0.796983645,0.413687659,0.715154895,-0.006372834,-0.232202331,-0.268018116,-0.373272482,-1.318284953,0.142885819,-0.010979268,0.934658881,0.620431429,-0.497089037,-1.820351826,0.828253229,-1.445165538,0.749330033,-1.329945611,-0.38890186,-0.414749323,-1.038346032,0.973803642,0.559899357,0.394654516,0.114166736,0.186525271,0.059002075,-0.052558395,0.100596589,0.397933268,-0.615676872,0.775027634,-1.881573015,-0.660736313,0.887382321,0.538879701,-1.836941913,0.805643327,-2.339015854,-2.163655359,0.775884563,0.761216575,0.247440091,0.30874775,0.661229968,0.805513642,-0.143758607,-0.411714764
1,-2.167249781,-1.21590462,-1.20367652,-0.894596043,0.713386364,-0.08318811,0.590825052,-1.144910436,-2.22600302,-0.084474815,-0.103182733,-2.270085122,-1.801372895,-0.314794954,-0.262821029,0.750542137,-0.338284515,-0.225689404,-1.462062308,0.383436268,-1.820318562,-0.432162419,0.199584454,0.970052304,0.623609172,0.722830712,0.575213716,-0.931895847,0.658960166,0.765428982,-0.807319932,0.943895567,-0.607819083,0.527081002,-0.008971398,0.080604103,0.453888903,0.548052706,0.494923457,-0.260556041,-2.231587189,-0.254184778,0.288884581,-0.021421515,-0.66427043,-1.437457516,0.617015248,-0.545383681,0.216845343,0.990028401,-0.888146573,0.445774788,0.66133268,-0.172662699,0.271162203,-0.332661692,0.291386578,-1.01337211,-1.490961309,0.184533785,-0.733332388,0.159176307,0.451253772,-0.31734931,-0.065441968,-0.347606884,-0.079797142,0.519838634,-0.443088779,0.812241547,-0.846354581,-0.798288181,0.556512659,-1.304522818,0.469281626,-2.13970869,0.828418224,-1.070458706,-0.372945756,0.639088849,-0.501790216,-2.268722227,-1.697880926,-2.229808451,0.739369054,0.759971164,0.930486362,-0.375351285,-0.403369385,-1.112931916,0.226659539,-0.844952029,0.174508021,-0.082887987,-0.715638922,-2.478232382,-2.115673941,-1.301639371,0.927012823,-1.040754505,-1.731010562,-1.434554911,0.504431148,-1.887704005,-1.07461685,0.724701621,0.821058259,-1.283275792,-1.343217797,-0.614745362,0.984592425,0.007645023,0.688115625,-0.308875926,0.419945663,0.223023396,-1.331568639,-0.317625919,0.611702787,0.47973583,-1.31938042,-1.234918644,0.27131137,-0.101395387,-0.251544018,-0.520734938,-0.62574984,-0.408419326,-0.47369903,0.544967287,0.755306983,-1.145605062,0.865897087,-0.984028938,0.65987879,0.698224541,-0.694851435,-0.516597928,-0.349925104,0.375195926,0.935900598,0.387970312,0.925599793,-0.181602891,-1.377142245,0.215257277,-1.458125782,-2.341030176,-1.816072936,0.35817212,-0.121086638
1,-1.91221351,-0.96217227,0.809314999,-0.241358284,-0.151941803,0.54275449,-0.142104275,-0.261834983,0.036266614,-1.271605616,0.917862287,0.562597114,0.710231098,-2.070849111,-0.625576747,-0.186904902,0.144903751,-2.30768169,-0.512436713,-0.725121164,0.816174969,-0.870434296,-1.032411759,0.60991902,0.550297814,0.485987047,0.591630421,-0.647067405,-1.225177454,-0.50643109,-0.970385099,-0.543197193,0.459872917,0.589562721,-0.315885918,0.30786913,0.285051358,0.07739938,0.339935296,-0.284393563,0.498048594,-0.052491382,-0.135238451,-0.202551135,0.505630608,0.959701156,-0.136992208,-1.442433636,-0.903915645,-0.614963864,-0.164494215,0.597719627,0.911810964,0.845450444,0.70074716,-0.526722139,0.74587543,-1.991086534,-1.111414161,0.537626229,-0.265419659,0.252551027,0.399576138,-0.893359844,0.559481809,0.720354648,-0.212392225,0.987825838,-0.545049452,0.322720283,-0.446698359,0.480565333,0.660039542,-2.211172775,-0.228532581,-0.146456757,0.17418113,-0.498546714,0.466950293,-1.38586605,-2.277518377,0.42043374,0.578412858,-0.287130935,0.861948331,0.241758063,0.662444892,0.441188285,0.84222704,-0.426284757,-1.171621501,-0.199407099,-0.05249988,0.637847401,0.540052465,-0.854513406,-0.934760383,-1.501067238,0.26201189,0.068350966,-0.675567452,0.600494594,0.11970454,0.482594939,-0.091506746,0.798024645,0.141990041,-1.574650753,-1.103042043,0.640743301,-1.085907678,-2.073654126,-2.386640332,-1.824955993,-0.963334134,0.378225422,-0.31578415,0.640219649,0.692028975,0.913295613,-1.189761263,0.23747272,0.939848776,0.822954327,0.992659272,-0.578665371,0.707208612,-0.660995107,0.854220468,0.623294396,-0.571039411,-0.515769251,0.271042153,0.510110741,-0.663653476,-0.368645731,-1.496624814,0.334680175,0.996915885,-1.57116434,0.181239888,0.981931614,0.758068045,-0.180652535,-0.811583222,-1.926071127,0.665609452,-0.441924158,-0.58240006,0.253101702,-0.1072743
1,-0.646272701,0.861140198,0.751799706,0.295054184,-0.424608643,0.557694089,0.995518986,-0.494290211,0.115904397,-1.167032823,0.622045174,0.312527278,-0.520150466,-0.955728892,0.791474501,0.273702796,-0.685594163,-1.138208556,0.655704628,0.52720446,-0.587592849,-0.656685803,-1.362251333,-0.17265986,0.229847929,0.802860731,-0.371826622,-1.641096447,-1.877338062,0.464021989,-0.562879867,0.084333281,-0.994271616,0.940532921,-1.504722837,0.104595892,0.772014774,-0.222714704,0.200998045,-0.851430427,-0.241575963,-1.06799967,0.996297493,-0.801385768,0.414440251,-0.044742799,0.397023266,-0.061562519,-0.733781527,-0.086210662,-1.977605761,0.91507104,-0.399152399,-0.691295979,-1.49474446,0.248847797,0.128751799,0.255003111,-1.863810169,-1.098287423,0.231988436,0.792653688,-0.296471295,-0.774426757,0.829130799,-1.564718855,-1.304403572,-1.900062169,0.37665734,0.795999873,-1.048208996,-0.934382258,-0.138727596,0.89055199,-2.123605409,-1.941532538,-1.261110541,-1.681602125,0.271031189,-0.851079907,-0.343011979,0.267335472,-0.105826505,0.812777317,0.223768755,0.285497475,-0.815714103,-1.985337085,-0.622565405,0.857983167,-0.270852234,-1.978950336,0.781389918,0.559046532,0.466383074,0.319791043,0.017939831,-0.231996167,0.622175322,-1.039923999,-1.445218759,-0.530949813,-1.13740604,0.670722581,-0.961957543,-0.457578092,-0.900706225,-0.538306217,0.497536243,0.172947584,0.299649896,0.44228559,-2.126152436,0.646500858,-1.411381074,-0.62484322,-0.054039932,-0.047664107,-1.61142795,-0.954680503,-0.843900387,-1.164106566,0.37413624,-0.051824966,-0.655672134,0.266129071,0.922248889,0.843270151,-0.249890565,-1.324075921,-0.423534132,0.419325066,-0.224315672,-1.427530285,-0.111378583,-0.289545313,0.621216178,-1.095961615,-1.613353202,-0.205473813,0.085207029,-1.550728947,0.655186794,0.102334037,-0.429913448,0.776707842,-1.987359361,-1.473460801,-1.301211517,0.491947911,0.0500931
